ULAN,ID_WIKIDATA,ConstituentID,DisplayName,ArtistBio,Nationality,pays,Gender,BeginDate,EndDate,datenaissance,datemort
500032997,Q3445734,74,Roy Adzak,"British, 1927–1987",British,United Kingdom,Male,1927,1987,,
,,76,Nicholas Africano,"American, born 1948",American,United States,Male,1948,,,
500014109,Q388090,77,Afro (Afro Basaldella),"Italian, 1912–1976",Italian,Italy,Male,1912,1976,,
,,78,Aftograf,Russian,Russian,Russia,,0,,,
500019224,Q276030,79,Agam (Yaacov Agam),"Israeli, born 1928",Israeli,Israel,Male,1928,,,
500032736,Q3853982,80,Mehemed Fehmy Agha,"American, born Russia. 1896–1978",American,United States,Male,1896,1978,,
,,81,Kathleen Agnoli,"American, born 1945",American,United States,Female,1945,,,
,,82,Peter Agostini,"American, 1913–1993",American,United States,Male,1913,1993,,
500345720,Q2734214,83,Olympe Aguado de las Marismas,"French, 1827–1894",French,France,Male,1827,1894,,
,,84,Dongkuk S. Ahn,"American, 1937–2013",American,United States,Male,1937,2013,,
,,85,Aarne Aho,"Finnish, 1904–1978",Finnish,Finland,Male,1904,1978,,
500058307,Q61191,86,Otl Aicher (also known as Otto Aicher),"German, 1922–1991",German,Germany,Male,1922,1991,,
500043259,Q3265338,87,Lucien Aigner,"American, born Hungary. 1901–1999",American,United States,Male,1901,1999,,
500008108,Q5606793,88,Gregory Ain,"American, 1908–1988",American,United States,Male,1908,1988,,
,,89,Edgar Ainsworth,"British, 1906–1975",British,United Kingdom,Male,1906,1975,,
,,91,Roberto Aizenberg,"Argentine, 1928–1996",Argentine,Argentina,Male,1928,1996,,
,,92,Kinji Akagawa,"Japanese, born 1940",Japanese,Japan,Male,1940,,,
,Q7385596,93,Ryoji Akiyama,"Japanese, born 1942",Japanese,Japan,Male,1942,,,
,,94,Munira Al-Kazi,"Kuwaiti, born 1939",Kuwaiti,Kuwait,Female,1939,,,
,,95,Alastair (Hans H. Voight),"German, 1887–1969",German,Germany,Male,1887,1969,,
500012591,Q86078,96,Anni Albers,"American, born Germany. 1899–1994",American,United States,Female,1899,1994,,
500033049,Q170071,97,Josef Albers,"American, born Germany. 1888–1976",American,United States,Male,1888,1976,,
,,98,Beatrice Albert,American,American,United States,Female,0,,,
,Q63119722,99,Joan Albert,"American, 1943–2012",American,United States,Female,1943,2012,1943-01-01T00:00:00Z,2012-01-01T00:00:00Z
500016413,Q1392676,100,Ivan LeLorraine Albright,"American, 1897–1983",American,United States,Male,1897,1983,,
,,101,Album-miscellaneous,Various,,Nationality unknown,,0,,,
,,103,Albert Alcalay,"American, 1917–2008",American,United States,Male,1917,2008,,
500019879,Q3611295,104,L. (Alfred Lewin Copley) Alcopley,"American, born Germany. 1910–1992",American,United States,Male,1910,1992,,
,,105,A. Alcorn,American,American,United States,,0,,,
,,106,Alan Aldridge,"British, born 1943",British,United Kingdom,Male,1943,,,
500027985,Q328248,107,Pierre Alechinsky,"Belgian, born 1927",Belgian,Belgium,Male,1927,,,
,,108,Peter Alexander,"American, 1939–2020",American,United States,Male,1939,2020,,
,,111,Carlo Alfano,Italian,Italian,Italy,Male,0,,,
,,112,José R. Alicea,"American, born Puerto Rico 1928",American,United States,Male,1928,,,
,,113,Leopoldo and Guiseppe Alinari,Italian,Italian,Italy,,0,,,
,,114,James Alinder,"American, born 1941",American,United States,Male,1941,,,
,,115,Yves Alix,"French, 1890–1969",French,France,Male,1890,1969,,
,,116,Wobbe Alkema,"Dutch, 1900–1984",Dutch,Netherlands,Male,1900,1984,,
,,117,William Allan,"American, born 1936",American,United States,Male,1936,,,
,Q85413413,118,Alexander Alland,"American, born Russia. 1902–1989",American,United States,Male,1902,1989,1902-01-01T00:00:00Z,1989-01-01T00:00:00Z
,,119,Harry Allen,"American, born 1964",American,United States,Male,1964,,,
500103769,Q1279401,120,Terry Allen,"American, born 1943",American,United States,Male,1943,,1943-05-07T00:00:00Z,
,,121,Adrian Allinson,"British, 1890–1959",British,United Kingdom,Male,1890,1959,,
,,123,Carlos Alonso,"Argentine, born 1929",Argentine,Argentina,Male,1929,,,
,,124,Glen Alps,"American, 1914–1996",American,United States,Male,1914,1996,,
,,126,Henry Altchek,"American, born 1943",American,United States,Male,1943,,,
500029807,Q111018,127,Gerhard Altenbourg,"German, 1926–1989",German,Germany,Male,1926,1989,,
,,128,Hobie Alter,"American, born 1933",American,United States,Male,1933,,,
500028706,,129,Harold Altman,"American, 1924–2003",American,United States,Male,1924,2003,,
,,131,Giacchino Altobelli,"Italian, born 1814",Italian,Italy,Male,1814,,,
500019079,Q4062989,132,John Altoon,"American, 1925–1969",American,United States,Male,1925,1969,,
500028115,Q712262,135,Manuel Álvarez Bravo,"Mexican, 1902–2002",Mexican,Mexico,Male,1902,2002,,
