ULAN,ID_WIKIDATA,ConstituentID,DisplayName,ArtistBio,Nationality,pays,Gender,BeginDate,EndDate,datenaissance,datemort
,,2464,Marshall Hall,American,American,United States,Male,0,,,
500023553,Q1559115,2465,Nigel Hall,"British, born 1943",British,United Kingdom,Male,1943,,1943-08-30T00:00:00Z,
500000874,Q680826,2466,Hermann Haller,"Swiss, 1880–1950",Swiss,Switzerland,Male,1880,1950,,
500115428,Q1642699,2467,Peter Halley,"American, born 1953",American,United States,Male,1953,,1953-09-24T00:00:00Z,
500115428,Q1642699,2467,Peter Halley,"American, born 1953",American,United States,Male,1953,,1953-01-01T00:00:00Z,
,,2468,Gary L. Hallman,"American, born 1940",American,United States,Male,1940,,,
500009174,Q7411613,2469,Samuel Halpert,"American, 1884–1930",American,United States,Male,1884,1930,,
500026767,Q704572,2470,Philippe Halsman,"American, born Latvia. 1906–1979",American,United States,Male,1906,1979,,
500319096,Q11557994,2471,Chimei Hamada,"Japanese, 1917–2018",Japanese,Japan,Male,1917,2018,,
,,2472,Yozo Hamaguchi,"Japanese, 1909–2000",Japanese,Japan,Male,1909,2000,,
,,2473,Katsunori Hamanishi,"Japanese, born 1949",Japanese,Japan,Male,1949,,,
500115292,Q1386695,2475,Hiroshi Hamaya,"Japanese, 1915–1999",Japanese,Japan,Male,1915,1999,,
500028647,Q18714041,2476,Theora Hamblett,"American, 1895–1977",American,United States,Female,1895,1977,,
,,2477,Jörg Hamburger,"Swiss, born 1935",Swiss,Switzerland,Male,1935,,,
,,2478,Peter Hamburger,"American, born 1941",American,United States,Male,1941,,,
,,2480,James Hamilton,"American, born 1928",American,United States,Male,1928,,,
500126033,Q159465,2481,Richard Hamilton,"British, 1922–2011",British,United Kingdom,Male,1922,2011,,
,Q5650111,2482,Hans Hammarskiold,"Swedish, 1925–2012",Swedish,Sweden,Male,1925,2012,,
,,2483,Sid Hammer,"American, 1926–1969",American,United States,Male,1926,1969,,
,,2485,John Hays Hammond,"American, 1888–1965",American,United States,Male,1888,1965,,
500114717,Q320846,2486,David Hammons,"American, born 1943",American,United States,Male,1943,,,
,,2487,Harry Handler,American,American,United States,Male,0,,,
,,2488,Abraham P. Hankins,"American, 1904–1963",American,United States,Male,1904,1963,,
,,2489,Wolfgang Hanns,German,German,Germany,Male,0,,,
,,2490,Aage Helbig Hansen,"Danish, born 1915",Danish,Denmark,Male,1915,,,
,,2491,Robert Hansen,"American, 1924–2013",American,United States,Male,1924,2013,,
,,2492,Bill Hanson,"American, born 1928",American,United States,Male,1928,,,
,,2493,David T. Hanson,"American, born 1948",American,United States,Male,1948,,,
,,2494,Joseph Mellor Hanson,"British, 1900–1963",British,United Kingdom,Male,1900,1963,,
500024642,Q870924,2495,Simon Hantaï,"French, born Hungary. 1922–2008",Hungarian,Hungary,Male,1922,2008,,
,,2496,Michio Hanyu,"Japanese, born 1933",Japanese,Japan,Male,1933,,,
500083469,Q5078759,2497,Charles Harbutt,"American, 1935–2015",American,United States,Male,1935,2015,,
,,2498,Marvin Harden,"American, born 1935",American,United States,Male,1935,,,
,,2499,Elizabeth Harding,American,American,United States,Female,0,,,
,,2500,John Harding,"American, born 1940",American,United States,Male,1940,,,
,,2501,Robert Hardmeyer,"Swiss, 1876–1919",Swiss,Switzerland,Male,1876,1919,,
500014364,Q5790356,2502,Dudley Hardy,"British, 1867–1922",British,United Kingdom,Male,1867,1922,,
,,2503,Chauncey Hare,"American, 1934–2019",American,United States,Male,1934,2019,,
500049547,Q465126,2504,David Hare,"American, 1917–1992",American,United States,Male,1917,1992,,
500024253,Q485635,2505,Keith Haring,"American, 1958–1990",American,United States,Male,1958,1990,,
500069800,Q2149702,2507,Richard Harlfinger,"Austrian, 1873–1948",Austrian,Austria,Male,1873,1948,,
,,2508,Guy Harloff,"French, 1933–1991",French,France,Male,1933,1991,,
,,2509,Irving Harper,"American, 1916–2015",American,United States,Male,1916,2015,,
500344268,Q7326279,2510,Richard Harrington,"Canadian, born Germany. 1911–2005",Canadian,Canada,Male,1911,2005,,
,,2511,Alexander E. Harris,"American, born 1949",American,United States,Male,1949,,,
,,2512,Kate Harris,British,British,United Kingdom,Female,0,,,
,,2513,L. Harris,,,Nationality unknown,,0,,,
,,2514,Margaret Harris,American,American,United States,Female,0,,,
,,2515,Paul Harris,"American, born 1925",American,United States,Male,1925,,,
,,2516,Anthony Harrison,British,British,United Kingdom,Male,0,,,
500068712,Q4722191,2517,Alfred A. Hart,"American, 1816–1908",American,United States,Male,1816,1908,,
,Q16729684,2518,Claudia Hart,"American, born 1955",American,United States,Female,1955,,1955-01-01T00:00:00Z,
500027420,Q19795994,2519,"George Overbury (""Pop"") Hart","American, 1868–1933",American,United States,Male,1868,1933,,
500027518,Q535581,2520,Grace Hartigan,"American, 1922–2008",American,United States,Female,1922,2008,1922-01-01T00:00:00Z,2008-01-01T00:00:00Z
500027518,Q535581,2520,Grace Hartigan,"American, 1922–2008",American,United States,Female,1922,2008,1922-01-01T00:00:00Z,2008-11-15T00:00:00Z
500027518,Q535581,2520,Grace Hartigan,"American, 1922–2008",American,United States,Female,1922,2008,1922-03-28T00:00:00Z,2008-01-01T00:00:00Z
500027518,Q535581,2520,Grace Hartigan,"American, 1922–2008",American,United States,Female,1922,2008,1922-03-28T00:00:00Z,2008-11-15T00:00:00Z
500012910,Q553259,2521,Marsden Hartley,"American, 1877–1943",American,United States,Male,1877,1943,,
,Q55218886,2522,Cedric Hartman,"American, born 1929",American,United States,Male,1929,,1929-01-01T00:00:00Z,
,,2523,Rosella Hartman,"American, 1894–1984",American,United States,Female,1894,1984,,
,Q71242,2524,Erich Hartmann,"American, 1922–1999",American,United States,Male,1922,1999,,
500003694,Q657402,2525,Hans Hartung,"French, born Germany. 1904–1989",French,France,Male,1904,1989,,
,Q18626560,2526,Josef Hartwig,"German, 1880–1955",German,Germany,Male,1880,1955,1880-03-19T00:00:00Z,1956-11-13T00:00:00Z
,,2527,J.D.H. Harvey,British,British,United Kingdom,,0,,,
,,2529,Kiyoshi Hasegawa,"Japanese, 1891–1980",Japanese,Japan,Male,1891,1980,,
,,2530,Hasegawa Sabro,"Japanese, 1907–1957",Japanese,Japan,Male,1907,1957,,
,,2531,Jan Hashey,"American, born 1938",American,United States,Female,1938,,,
500018088,Q737635,2532,Childe Hassam,"American, 1859–1935",American,United States,Male,1859,1935,,
,,2533,Rafael Hastings,"Peruvian, born 1945",Peruvian,Peru,Male,1945,,,
,,2534,Hasui,"Japanese, 1883–1957",Japanese,Japan,Male,1883,1957,,
,,2535,Makio Hasuike,"Japanese, born 1938",Japanese,Japan,Male,1938,,,
,,2536,Peter Hatch,British,British,United Kingdom,Male,0,,,
,,2537,Hatsuo Ikeuchi,Japanese,Japanese,Japan,Male,0,,,
,,2538,Shigeru Hatsuyama,"Japanese, 1897–1973",Japanese,Japan,Male,1897,1973,,
500072009,Q2093524,2539,Pierre Haubensak,"Swiss, born 1935",Swiss,Switzerland,Male,1935,,,
,,2540,Declan Haun,"American, 1937–1994",American,United States,Male,1937,1994,,
,,2541,Suzanne Hausammann,"American, born 1937",American,United States,Female,1937,,,
,,2542,Johann Hauser,"Czech, 1926–1996",Czech,Czech Republic,Male,1926,1996,,
,,2543,Carry (Carl Maria) Hauser,"Austrian, 1895–1985",Austrian,Austria,Female,1895,1985,,
500013293,Q84503,2544,Raoul Hausmann,"German, born Austria. 1886–1971",German,Germany,Male,1886,1971,,
,Q2060039,2545,Paul Haustein,"German, 1880–1944",German,Germany,Male,1880,1944,,
,,2546,Ashley Havinden,"British, 1903–1973",British,United Kingdom,Male,1903,1973,,
500115878,Q2143075,2547,"Clementina, Lady Hawarden","British, 1822–1865",British,United Kingdom,Female,1822,1865,,
,,2548,Elizabeth King Hawley,"American, 1833–1926",American,United States,Female,1833,1926,,
,,2549,Markus Hawlik,"German, born 1951",German,Germany,Male,1951,,,
,,2550,E. Hawthorne,British,British,United Kingdom,,0,,,
,Q55218894,2551,Kirsten Hawthorne,"American, born 1949",American,United States,Female,1949,,1949-01-01T00:00:00Z,
500122496,Q19644275,2552,Alex Hay,"American, born 1930",American,United States,Male,1930,,,
,,2553,Yoshio Hayakawa,"Japanese, born 1917",Japanese,Japan,Male,1917,,,
500006216,Q1607477,2554,Henri Hayden,"French, born Poland. 1883–1970",French,France,Male,1883,1970,,
,,2555,David V. Hayes,"American, 1931–2013",American,United States,Male,1931,,,
,,2556,Louis Hayet,"French, 1864–1940",French,France,Male,1864,1940,,
500018648,Q5487536,2557,Frank Jay Haynes,"American, 1853–1921",American,United States,Male,1853,1921,,
500010689,Q641304,2558,Stanley William Hayter,"British, 1901–1988",British,United Kingdom,Male,1901,1988,,
,,2559,Nicholas Ház,"American, born Hungary. 1883–1953",American,United States,Male,1883,1953,,
,,2560,Frank Hazenplug,"American, 1874–1931",American,United States,Male,1874,1931,,
,Q5794673,2561,Howard Head,"American, 1914–1991",American,United States,Male,1914,1991,,
,,2562,Jack Heaney,American,American,United States,Male,0,,,
,,2563,Dennis Hearne,"American, born 1947",American,United States,Male,1947,,,
500059859,Q18422135,2564,Dave Heath,"American, 1931–2016",American,United States,Male,1931,2016,,
500336601,Q5338564,2565,Edith Heath,"American, 1911–2005",American,United States,Female,1911,2005,,
500100834,Q6861141,2566,Milton Elting Hebald,"American, born 1917",American,United States,Male,1917,,,
,,2567,Caroline Hebbe-Hammarskiold,"Swedish, born 1930",Swedish,Sweden,Female,1930,,,
,,2568,Joseph Hecht,"Polish, 1891–1951",Polish,Poland,Male,1891,1951,,
500032971,Q156700,2569,Erich Heckel,"German, 1883–1970",German,Germany,Male,1883,1970,,
500091864,Q7963381,2570,Wally Hedrick,"American, 1928–2003",American,United States,Male,1928,2003,,
,,2571,Jon Hedu,"American, 1914–1995",American,United States,Male,1914,1995,,
,,2572,Willy Heeks,"American, born 1951",American,United States,Male,1951,,,
,,2573,Henry Heerup,"Danish, 1905–1993",Danish,Denmark,Male,1905,1993,,
,,2574,Maria Hees,"Dutch, born 1948",Dutch,Netherlands,Female,1948,,,
500025399,Q813581,2575,Bernhard Heiliger,"German, 1915–1995",German,Germany,Male,1915,1995,,
500018494,Q19645625,2576,Michael Heindorff,German,German,Germany,Male,0,,,
500031323,Q216004,2577,Thomas Theodor Heine,"German, 1867–1948",German,Germany,Male,1867,1948,,
500101250,Q7345382,2578,Robert Heinecken,"American, 1931–2006",American,United States,Male,1931,2006,,
500023902,Q558432,2580,Michael Heizer,"American, born 1944",American,United States,Male,1944,,1944-11-04T00:00:00Z,
500028903,Q1270804,2581,John Hejduk,"American, 1929–2000",American,United States,Male,1929,2000,1929-07-19T00:00:00Z,2000-07-03T00:00:00Z
500028903,Q1270804,2581,John Hejduk,"American, 1929–2000",American,United States,Male,1929,2000,1929-07-13T00:00:00Z,2000-07-03T00:00:00Z
500047836,Q1482415,2582,Walter Helbig,"German, 1878–1968",German,Germany,Male,1878,1968,,
500026154,Q1301849,2583,Al Held,"American, 1928–2005",American,United States,Male,1928,2005,1928-10-12T00:00:00Z,2005-07-27T00:00:00Z
,,2584,Riva Helfond,"American, 1910–2002",American,United States,Female,1910,2002,,
500071676,Q728088,2586,Jean Hélion,"French, 1904–1987",French,France,Male,1904,1987,,
,,2587,Nancy Hellebrand,"American, born 1944",American,United States,Female,1944,,,
,,2589,"J.A. Henckels, Solingen, Germany",est. 1731,,Nationality unknown,,1731,,,
,,2590,Alexander Henderson,"Canadian, 1831–1913",Canadian,Canada,Male,1831,1913,,
,Q5534660,2591,Geoffrey Hendricks,"American, 1931–2018",American,United States,Male,1931,2018,1931-07-30T00:00:00Z,2018-05-12T00:00:00Z
500014771,Q85731,2593,Fritz Henle,"American, born German. 1909–1993",American,United States,Male,1909,1993,1909-06-09T00:00:00Z,1993-01-31T00:00:00Z
,,2594,Jan Henle,"American, born 1948",American,United States,Male,1948,,,
500000126,Q443429,2595,Florence Henri,"Swiss, born United States. 1893–1982",Swiss,Switzerland,Female,1893,1982,,
500225125,Q7900618,2596,Frederick H. K. Henrion,"British, 1914–1990",British,United Kingdom,Male,1914,1990,,
,,2597,Bill Henry,American,American,United States,Male,0,,,
,,2598,"Henry Disston & Sons, Inc.","American, established 1840",American,United States,,1840,,,
,,2599,William E. Hentschel,"American, 1892–1962",American,United States,Male,1892,1962,,
500010387,Q234109,2600,Barbara Hepworth,"British, 1903–1975",British,United Kingdom,Female,1903,1975,,
,,2601,Henri (Paul Herrmann) Héran,"German, 1864–1940",German,Germany,Male,1864,1940,,
500023239,Q706359,2602,Auguste Herbin,"French, 1882–1960",French,France,Male,1882,1960,,
,,2603,Arsène Herbinier,French,French,France,,0,,,
,,2607,Albin J. Herek,American,American,United States,Male,0,,,
,,2608,Hanns Herkendell,German,German,Germany,Male,0,,,
,,2609,Erik Herløw,"Danish, 1913–1991",Danish,Denmark,Male,1913,1991,,
,,2612,Anthony Hernandez,"American, born 1947",American,United States,Male,1947,,,
500014460,Q1455806,2613,Joan Hernández Pijuan,"Spanish, 1931–2005",Spanish,Spain,Male,1931,2005,,
,Q21287773,2614,Helena Hernmarck,"Swedish, born 1941",Swedish,Sweden,Female,1941,,1941-01-01T00:00:00Z,
,,2615,Georg Herold,"German, born 1947",German,Germany,Male,1947,,,
,,2616,Jacques Hérold,"Romanian, 1910–1991",Romanian,Romania,Male,1910,1991,,
,,2617,Patrick Heron,British,British,United Kingdom,Male,0,,,
,,2618,Luis Herrera Guevara,"Chilean, 1891–1945",Chilean,Chile,Male,1891,1945,,
,,2620,Marcia Herscovitz,"American, born 1945",American,United States,Female,1945,,,
500024105,Q556534,2621,Albert Herter,"American, 1871–1950",American,United States,Male,1871,1950,,
500026528,Q215457,2623,Eva Hesse,"American, born Germany. 1936–1970",American,United States,Female,1936,1970,,
,,2624,Robert Joseph Hettel,American,American,United States,Male,0,,,
,,2625,Raymonde Heudebert,"French, 1905–1991",French,France,Male,1905,1991,,
,,2626,Wout van Heusden,Dutch,Dutch,Netherlands,Male,0,,,
500029890,Q321632,2627,Anton Heyboer,"Dutch, born 1924",Dutch,Netherlands,Male,1924,,,
,Q42315105,2628,Ken Heyman,"American, born 1930",American,United States,Male,1930,,1930-01-01T00:00:00Z,2019-12-10T00:00:00Z
,,2629,Antonin Heythum,American 1901–1954,American,United States,Male,1901,1954,,
,,2630,Hibner,Polish,Polish,Poland,,0,,,
500110474,Q3481752,2631,Sheila Hicks,"American, born 1934",American,United States,Female,1934,,,
,,2632,Nankoku Hidai,"Japanese, 1912–1999",Japanese,Japan,Male,1912,1999,,
,,2633,Hideshima Yukio,Japanese,Japanese,Japan,Male,0,,,
,,2634,Kenneth Hiebert,"American, born 1930",American,United States,Male,1930,,,
,,2635,Higa Yoshiharu,"Japanese, born 1938",Japanese,Japan,Male,1938,,,
,,2636,Chester Higgins Jr.,"American, born 1946",American,United States,Male,1946,,,
500034921,Q1209700,2637,Dick Higgins,"American, born England. 1938–1998",American,United States,Male,1938,1998,,
500193827,Q1292537,2638,Edward Higgins,"American, born 1930",American,United States,Male,1930,,,
,,2641,Ernest C. Higgins,"American, born 1915",American,United States,Male,1915,,,
500079235,Q14917544,2642,Jene Highstein,"American, 1942–2013",American,United States,Male,1942,2013,,
,,2643,Susumu Higuchi,Japanese,Japanese,Japan,Male,0,,,
,Q7372141,2644,Rowland Hilder,"British, born 1905",British,United Kingdom,Male,1905,,1905-01-01T00:00:00Z,1993-01-01T00:00:00Z
,Q7372141,2644,Rowland Hilder,"British, born 1905",British,United Kingdom,Male,1905,,1905-01-01T00:00:00Z,1993-04-21T00:00:00Z
500107774,Q5760733,2645,Hilaire Hiler,"American, 1898–1966",American,United States,Male,1898,1966,,
,,2646,Charles Christopher Hill,"American, born 1948",American,United States,Male,1948,,,
500065362,Q5134148,2647,Clinton Hill,"American, born 1922",American,United States,Male,1922,,,
500019476,Q722792,2648,David Octavius Hill,"British, 1802–1870",British,United Kingdom,Male,1802,1870,,
,,2649,Vernon Hill,"British, 1886–1971",British,United Kingdom,Male,1886,1971,,
,,2650,Hille,Nationality unknown,Nationality unknown,Nationality unknown,,0,,,
500025352,Q3496023,2651,John Hillers,"American, 1843–1925",American,United States,Male,1843,1925,,
,,2652,Tristram Hillier,"British, 1905–1983",British,United Kingdom,Male,1905,1983,,
500077669,Q1579734,2653,Hans Hillmann,"German, born Silesia (now Poland) 1925",German,Germany,Male,1925,,,
500069895,Q5433958,2654,Fannie Hillsmith,"American, 1911–2007",American,United States,Female,1911,2007,,
,,2655,Hans Himbert,"Swedish, born 1951",Swedish,Sweden,Male,1951,,,
,,2656,Harvey Himelfarb,"American, born 1941",American,United States,Male,1941,,,
500115193,Q347194,2657,Lewis Wickes Hine,"American, 1874–1940",American,United States,Male,1874,1940,,
,,2658,Charles Hinman,"American, born 1932",American,United States,Male,1932,,,
,,2659,Kit Hinrichs,"American, born 1941",American,United States,Male,1941,,,
,,2660,K. Hinterberger,German,German,Germany,,0,,,
,,2661,Hans Hinterreiter,"Swiss, 1902–1989",Swiss,Switzerland,Male,1902,1989,,
,,2662,Randal Richard Hinz,"American, born 1944",American,United States,Male,1944,,,
,,2663,Philippe Hiquily,"French, 1925–2013",French,France,Male,1925,2013,,
,,2664,Key Hiraga,"Japanese, 1936–2000",Japanese,Japan,Male,1936,2000,,
,,2665,Un'ichi Hiratsuka,"Japanese, 1895–1997",Japanese,Japan,Male,1895,1997,,
500011505,Q6284010,2667,Joseph Hirsch,"American, 1910–1981",American,United States,Male,1910,1981,,
500024254,,2668,Stefan Hirsch,"American, 1899–1964",American,United States,Male,1899,1964,,
500054290,Q215162,2669,Ludwig Hirschfeld-Mack,"German, 1893–1965",German,Germany,Male,1893,1965,,
,,2670,Milton Hirschl,"American, 1917–1999",American,United States,Male,1917,1999,,
500013633,Q182014,2671,Morris Hirshfield,"American, born Poland. 1872–1946",American,United States,Male,1872,1946,,
,,2672,Terry Hirst,"American, born 1950",American,United States,Male,1950,,,
500070551,Q1447261,2673,Franz Hitzler,"German, born 1946",German,Germany,Male,1946,,,
,,2674,Erik Hjorth,"Danish, 1906–1982",Danish,Denmark,Male,1906,1982,,
500014841,Q463411,2675,Hannah Höch,"German, 1889–1978",German,Germany,Female,1889,1978,1889-11-01T00:00:00Z,1978-05-31T00:00:00Z
,,2676,Rick McKee Hock,"American, 1949–2015",American,United States,Male,1949,2015,,
,,2677,Antonius Höckelman,"German, 1937–2000",German,Germany,Male,1937,2000,,
500017273,Q159907,2678,David Hockney,"British, born 1937",British,United Kingdom,Male,1937,,,
500027570,Q950746,2679,Howard Hodgkin,"British, 1932–2017",British,United Kingdom,Male,1932,2017,,
500027184,Q214564,2681,Ferdinand Hodler,"Swiss, 1853–1918",Swiss,Switzerland,Male,1853,1918,,
500019617,Q1511779,2682,Gerhard Hoehme,German,German,Germany,Male,0,,,
,,2683,Fred J. Hoertz,Nationality unknown,Nationality unknown,Nationality unknown,Male,0,,,
,,2684,Beth Van Hoesen,"American, 1926–2010",American,United States,Female,1926,2010,,
500019236,Q553403,2685,Paul van Hoeydonck,"Belgian, born 1925",Belgian,Belgium,Male,1925,,,
500015138,Q62249,2686,Karl Hofer,"German, 1878–1955",German,Germany,Male,1878,1955,,
,,2687,Charles Hoff,"American, 1905–1970",American,United States,Male,1905,1970,,
,Q55218955,2688,Arlene Hoffman,"American, born 1937",American,United States,Female,1937,,1937-01-01T00:00:00Z,
,,2689,Bernard Hoffman,"American, 1913–1979",American,United States,Male,1913,1979,,
,,2690,Lee Hoffman,"American, born 1942",American,United States,Male,1942,,,
,,2691,Lilly E. Hoffman,American,American,United States,Female,0,,,
,,2692,Phillip W. Hoffman,"American, born 1936",American,United States,Male,1936,,,
,,2693,Wolf Hoffman,German,German,Germany,Male,0,,,
500019177,Q84250,2694,Josef Hoffmann,"Austrian, 1870–1956",Austrian,Austria,Male,1870,1956,,
,,2695,Alfred Hofkunst,"Swiss, born Austria. 1942–2004",Swiss,Switzerland,Male,1942,2004,,
500019514,Q1401377,2696,Rudolf Hoflehner,"Austrian, 1916–1995",Austrian,Austria,Male,1916,1995,,
500085144,Q3335167,2697,Armin Hofmann,"Swiss, born 1920",Swiss,Switzerland,Male,1920,,,
500024228,Q215461,2698,Hans Hofmann,"American, born Germany. 1880–1966",American,United States,Male,1880,1966,,
,,2699,Christopher Martin Hofstetter,"Swiss, born 1944",Swiss,Switzerland,Male,1944,,,
500071930,Q314525,2700,Ludwig Hohlwein,"German, 1874–1949",German,Germany,Male,1874,1949,,
500004830,Q451141,2702,Steven Holl,"American, born 1947",American,United States,Male,1947,,,
,Q16104458,2703,Tom Holland,"American, born 1936",American,United States,Male,1936,,1936-06-15T00:00:00Z,
500030211,Q78884,2705,Hans Hollein,"Austrian, 1934–2014",Austrian,Austria,Male,1934,2014,,
,,2706,Roger Hollenbeck,American,American,United States,Male,0,,,
,Q55218962,2707,Gordon Holler,"American, born 1935",American,United States,Male,1935,,1935-01-01T00:00:00Z,
,,2708,Torben Holmback,"Danish, born 1933",Danish,Denmark,,1933,,,
,,2709,Frank Graham Holmes,"American, 1878–1954",American,United States,Male,1878,1954,,
,,2710,William Henry Holmes,American,American,United States,Male,0,,,
,,2711,Robert Holmgren,"American, born 1946",American,United States,Male,1946,,,
,,2712,Pieter Holstein,"Dutch, born 1934",Dutch,Netherlands,Male,1934,,,
500031692,Q5040332,2713,Carl Holty,"American, 1900–1973",American,United States,Male,1900,1973,,
500047276,Q270388,2714,Jenny Holzer,"American, born 1950",American,United States,Female,1950,,1950-07-29T00:00:00Z,
,,2715,Friedl Holzer-Kjellberg,"Finnish, born Austria. 1905–1993",Finnish,Finland,Male,1905,1993,,
,,2716,David Holzman,"American, 1943–2017",American,United States,Male,1943,2017,,
,,2717,Lorenzo Homar,"American, 1913–2004",American,United States,Male,1913,2004,,
500027064,Q115873,2719,Gottfried Honegger,"Swiss, 1917–2016",Swiss,Switzerland,Male,1917,2016,,
,,2720,Göran Hongell,"Finnish, 1902–1973",Finnish,Finland,Male,1902,1973,,
,,2721,Ethelyn Honig,"American, born 1933",American,United States,Female,1933,,,
,,2722,Dorothy Hood,"American, 1918–2000",American,United States,Female,1918,2000,,
,,2723,John Hoover,"American, born 1919",American,United States,Male,1919,,,
,,2724,Saara Hopea,"Finnish, 1925–1984",Finnish,Finland,Female,1925,1984,,
500003076,Q5079125,2725,Charles Hopkinson,"American, 1869–1962",American,United States,Male,1869,1962,,
500031212,Q203401,2726,Edward Hopper,"American, 1882–1967",American,United States,Male,1882,1967,,
,,2728,Barbara Horosko,"American, born 1950",American,United States,Female,1950,,,
,Q55218988,2729,Bruce Horowitz,"American, born 1949",American,United States,Male,1949,,1949-01-01T00:00:00Z,
,Q6969072,2730,Nathan George Horwitt,"American, 1898–1990",American,United States,Male,1898,1990,,
,,2733,Koyo Hosoi,Japanese,Japanese,Japan,Male,0,,,
,,2734,Hosoda Masayoshi,Japanese,Japanese,Japan,Male,0,,,
500115535,Q2564831,2735,Eikoh Hosoe,"Japanese, born 1933",Japanese,Japan,Male,1933,,,
,,2736,Takeichi Hotta,Japanese,Japanese,Japan,Male,0,,,
,,2737,Gordon House,British,British,United Kingdom,Male,0,,,
,,2738,Keith Hovis,American,American,United States,Male,0,,,
,,2739,Coy Howard,"American, born 1943",American,United States,Male,1943,,,
,,2740,Eloise Howard,"American, 1889–1985",American,United States,Female,1889,1985,,
500063340,Q711799,2741,Peter Howson,"British, born 1958",British,United Kingdom,Male,1958,,1958-03-27T00:00:00Z,
,,2742,John Hoyland,"British, 1934–2011",British,United Kingdom,Male,1934,2011,,
,,2743,Alfred Hrdlicka,"Austrian, born 1928",Austrian,Austria,Male,1928,,,
,,2744,Hermann Huber,"Swiss, 1888–1967",Swiss,Switzerland,Male,1888,1967,,
500258183,Q612578,2745,Max Huber,"Italian, born Switzerland. 1919–1992",Italian,Italy,Male,1919,1992,,
,,2746,Patriz Hüber,"German, 1878–1902",German,Germany,Male,1878,1902,,
500056055,Q4494583,2747,Robert Hudson,"American, born 1938",American,United States,Male,1938,,,
,,2748,Richard Hudson,American,American,United States,Male,0,,,
500001196,Q248070,2749,Douglas Huebler,"American, 1924–1997",American,United States,Male,1924,1997,1924-10-27T00:00:00Z,1997-07-12T00:00:00Z
,,2751,Patrick Hughes,British,British,United Kingdom,Male,0,,,
,,2752,Ralph Hughes,"American, born 1923",American,United States,Male,1923,,,
,,2753,Toni Hughes,"American, 1907–?",American,United States,Female,1907,,,
500025276,Q458721,2755,Georges Hugnet,"French, 1906–1974",French,France,Male,1906,1974,,
,Q12317395,2756,Ian (Hugh Guiler) Hugo,"American, 1898–1985",American,United States,Male,1898,1985,,
,,2757,Jean Hugo,"French, 1894–1984",French,France,Male,1894,1984,,
500092209,Q3553651,2758,Valentine Hugo,"French, 1890–1968",French,France,Female,1890,1968,,
,,2759,Sipke Huismans,Dutch,Dutch,Netherlands,Male,0,,,
500030565,Q16016476,2761,John Hultberg,"American, 1922–2005",American,United States,Male,1922,2005,,
,,2763,Sandy Hume,"American, born 1946",American,United States,Male,1946,,,
,,2765,Ralph Humphrey,"American, 1932–1990",American,United States,Male,1932,1990,,
500005179,Q151836,2766,Hundertwasser (Friedrich Stowasser),"Austrian, 1928–2000",Austrian,Austria,Male,1928,2000,,
500007768,Q2225576,2767,Bryan Hunt,"American, born 1947",American,United States,Male,1947,,,
,,2768,"Edward C. (""Pa"") Hunt","American, 1870–1934",American,United States,Male,1870,1934,,
500124131,Q7326615,2769,Richard Hunt,"American, born 1935",American,United States,Male,1935,,,
,,2770,John Hunter,"American, born 1934",American,United States,Male,1934,,,
,,2771,Max Hunziker,Nationality unknown,Nationality unknown,Nationality unknown,Male,0,,,
,,2772,Robert Huot,"American, born 1935",American,United States,Male,1935,,,
,,2773,Dudley Huppler,"American, 1917–1988",American,United States,Male,1917,1988,,
,,2774,Frank Hurley,"Australian, 1885–1962",Australian,Australia,Male,1885,1962,,
,,2775,Michael Hurson,"American, 1941–2007",American,United States,Male,1941,2007,,
,,2776,Luchita Hurtado,"American, born Venezuela. 1920–2020",American,United States,Female,1920,2020,,
,,2777,Gene Hurwitt,"American, 1906–1988",American,United States,Male,1906,1988,,
,,2778,Sidney Jack Hurwitz,American,American,United States,Male,0,,,
,,2779,Dalla Husband,"Canadian, 1899–1945",Canadian,Canada,Female,1899,1945,,
,,2780,Terry Husebye,"American, born 1945",American,United States,Male,1945,,,
500012149,Q781561,2781,Vilmos Huszár,"Dutch, born Hungary. 1884–1960",Dutch,Netherlands,Male,1884,1960,,
500107080,Q2075842,2782,Peter Hutchinson,"British, born 1930",British,United Kingdom,Male,1930,,1930-01-01T00:00:00Z,
,,2784,Paul Huxley,British born 1938,British,United Kingdom,Male,1938,,,
,,2785,Garth Huxtable,"American, 1911–1989",American,United States,Male,1911,1989,,
,,2786,Kyu-Baik Hwang,"Korean, born 1932",Korean,South Korea,Male,1932,,,
,,2787,Lisa Hyatt,"American, born 1949",American,United States,Female,1949,,,
,,2788,Philip Hyde,"American, born 1921",American,United States,Male,1921,,,
,Q55219001,2789,Scott Hyde,"American, born 1926",American,United States,Male,1926,,1926-01-01T00:00:00Z,
500016306,Q2084619,2791,Henri-Gabriel Ibels,"French, 1867–1936",French,France,Male,1867,1936,,
,,2792,Arinori Ichihara,Japanese,Japanese,Japan,Male,0,,,
,Q7706942,2793,Tetsuya Ichimura,"Japanese, born 1930",Japanese,Japan,Male,1930,,,
,,2794,Paul Ickovic,"American, born 1944",American,United States,Male,1944,,,
,,2795,Shoichi Ida,"Japanese, 1941–2006",Japanese,Japan,Male,1941,2006,,
,,2796,Ide Sakiko,"Japanese, born 1927",Japanese,Japan,Male,1927,,,
,,2797,Takenobu Igarashi,"Japanese, born 1944",Japanese,Japan,Male,1944,,,
